RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,56.62,3.86
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,57.47,3.23
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB5 5LI,57.35,2.83
4,Ardbeg,4,1,4,4,0,0,2,0,1,1,1,0,PA42 7EA,55.64,6.36
5,Ardmore,2,2,4,1,0,1,1,1,1,2,1,1,AB54 4NH,57.32,2.79
6,ArranIsleOf,2,3,1,1,0,1,1,2,0,1,3,2,KA27 8HJ,55.58,5.2
7,Auchentoshan,0,2,0,0,0,2,1,1,1,2,2,2,G81 4SJ,55.92,4.45
8,Auchroisk,2,3,1,0,0,2,2,2,3,3,3,3,AB55 3XS,57.45,3.06
9,Aultmore,2,2,1,0,0,2,1,1,1,3,2,3,AB55 3QY,57.57,2.96
10,Balblair,2,3,1,0,0,1,2,2,2,2,3,2,IV19 1LB,57.86,4.08
11,Balmenach,2,2,2,0,0,2,2,3,3,3,2,1,PH26 3PF,57.28,3.55
12,Balvenie,2,3,2,0,0,2,2,2,2,3,3,2,AB55 4BB,57.45,3.12
13,BenNevis,3,3,2,0,0,1,2,2,2,3,2,1,PH33 6TJ,56.82,5.12
14,Benriach,2,2,2,1,0,1,1,1,2,2,3,3,IV30 8SJ,57.62,3.35
15,Benrinnes,3,2,2,0,0,1,3,3,2,3,2,1,AB37 9DT,57.39,3.22
16,Benromach,2,2,2,2,0,1,2,2,1,2,2,2,IV36 3EB,57.6,3.61
17,Bladnoch,1,3,1,0,0,2,2,2,1,2,3,3,DG8 9AB,54.83,4.5
18,BlairAthol,3,2,1,0,0,2,3,3,2,3,1,1,PH16 5LY,56.71,3.82
